Year,census,un,maddison,worldometers
1950,2557628654,2525149000,2544000000,
1951,2594939877,2572850917,2571663000,2.58E+09
1952,2636772306,2619292068,2617949000,2.63E+09
1953,2682053389,2665865392,2665959000,2.68E+09
1954,2730228104,2713172027,2716927000,2.72E+09
1955,2782098943,2761650981,2769074000,2.77E+09
1956,2835299673,2811572031,2822502000,2.82E+09
1957,2891349717,2863042795,2879934000,2.87E+09
1958,2948137248,2916030167,2939254000,2.93E+09
1959,3000716593,2970395814,2995909000,2.98E+09
1960,3043001508,3026002942,3041507000,3.03E+09
1961,3083966929,3082830266,3082161000,3.09E+09
1962,3140093217,3141071531,3135787000,3.15E+09
1963,3209827882,3201178277,3201354000,3.21E+09
1964,3281201306,3263738832,3266477000,3.27E+09
1965,3350425793,3329122479,3333138000,3.34E+09
1966,3420677923,3397475247,3402224000,3.41E+09
1967,3490333715,3468521724,3471464000,3.48E+09
1968,3562313822,3541674891,3543086000,3.55E+09
1969,3637159050,3616108749,3615743000,3.63E+09
1970,3712697742,3691172616,3691157000,3.70E+09
1971,3790326948,3766754345,3769818000,3.78E+09
1972,3866568653,3842873611,3846499000,3.85E+09
1973,3942096442,3919182332,3922793000,3.93E+09
1974,4016608813,3995304922,3997677000,4.00E+09
1975,4089083233,4071020434,4070671000,4.08E+09
1976,4160185010,4146135850,4141445000,4.15E+09
1977,4232084578,4220816737,4213539000,4.23E+09
1978,4304105753,4295664825,4286317000,4.30E+09
1979,4379013942,4371527871,4363144000,4.38E+09
1980,4451362735,4449048798,4439529000,4.46E+09
1981,4534410125,4528234634,4514838000,4.54E+09
1982,4614566561,4608962418,4587307000,4.62E+09
1983,4695736743,4691559840,4676388000,4.70E+09
1984,4774569391,4776392828,4756521000,4.78E+09
1985,4856462699,4863601517,4837719000,4.87E+09
1986,4940571232,4953376710,4920968000,4.96E+09
1987,5027200492,5045315871,5006672000,5.05E+09
1988,5114557167,5138214688,5093306000,5.15E+09
1989,5201440110,5230000000,5180540000,5.24E+09
1990,5288955934,5320816667,5269029000,5.33E+09
1991,5371585922,5408908724,5351922000,5.41E+09
1992,5456136278,5494899570,5435722000,5.50E+09
1993,5538268316,5578865109,5518127000,5.58E+09
1994,5618682132,5661086346,5599396000,5.66E+09
1995,5699202985,5741822412,5681575000,5.74E+09
1996,5779440593,5821016750,5762212000,5.82E+09
1997,5857972543,5898688337,5842122000,5.91E+09
1998,5935213248,5975303657,5921366000,5.98E+09
1999,6012074922,6051478010,5999622000,6.06E+09
2000,6088571383,6127700428,6076558000,6.14E+09
2001,6165219247,6204147026,6154791000,6.22E+09
2002,6242016348,6280853817,6231704000,6.30E+09
2003,6318590956,6357991749,6308364000,6.38E+09
2004,6395699509,6435705595,6374056000,6.46E+09
2005,6473044732,6514094605,6462987000,6.54E+09
2006,6551263534,6593227977,6540214000,6.62E+09
2007,6629913759,6673105937,6616689000,6.71E+09
2008,6709049780,6753649228,6694832000,6.79E+09
2009,6788214394,6834721933,6764086000,6.87E+09
2010,6858584755,6916183482,,6.96E+09
2011,6935999491,6997998760,,7.04E+09
2012,7013871313,7080072417,,7.13E+09
2013,7092128094,7162119434,,7.21E+09
2014,7169968185,7243784000,,7.30E+09
2015,7247892788,7349472000,,7.38E+09
2016,7334771614,7432663280,,7.46E+09
2017,7412778971,,,7.55E+09
2018,7490427640,,,7.63E+09
2019,7567402977,,,7.71E+09
2020,7643402123,7758157000,,7.79E+09
2021,7718256830,,,7.87E+09
2022,7792021317,,,7.95E+09
2023,7864725370,,,8.03E+09
2024,7936271554,,,8.11E+09
2025,8006580553,8141661000,,8.18E+09
2026,8075716000,,,8.26E+09
2027,8143729466,,,8.33E+09
2028,8210559895,,,8.41E+09
2029,8276190519,,,8.48E+09
2030,8340606590,8500766000,,8.55E+09
2031,8403880343,,,8.62E+09
2032,8466094022,,,8.69E+09
2033,8527246205,,,8.76E+09
2034,8587325154,,,8.82E+09
2035,8646304704,8838908000,,8.89E+09
2036,8704239274,,,8.95E+09
2037,8761189197,,,9.02E+09
2038,8817138785,,,9.08E+09
2039,8872066537,,,9.14E+09
2040,8925949679,9157234000,,9.20E+09
2041,8978822945,,,9.26E+09
2042,9030723366,,,9.32E+09
2043,9081617002,,,9.37E+09
2044,9131462326,,,9.43E+09
2045,9180225214,9453892000,,9.48E+09
2046,9227935007,,,9.53E+09
2047,9274616811,,,9.59E+09
2048,9320232984,,,9.64E+09
2049,9364750182,,,9.69E+09
2050,9408141302,9725148000,,9.74E+09
2051,,,,9.78E+09
2052,,,,9.83E+09
2053,,,,9.87E+09
2054,,,,9.92E+09
2055,,9968809000,,9.96E+09
2056,,,,1.00E+10
2057,,,,1.00E+10
2058,,,,1.01E+10
2059,,,,1.01E+10
2060,,10184290000,,1.02E+10
2061,,,,1.02E+10
2062,,,,1.02E+10
2063,,,,1.03E+10
2064,,,,1.03E+10
2065,,10375719000,,1.03E+10
2066,,,,1.03E+10
2067,,,,1.04E+10
2068,,,,1.04E+10
2069,,,,1.04E+10
2070,,10547989000,,1.05E+10
2071,,,,1.05E+10
2072,,,,1.05E+10
2073,,,,1.05E+10
2074,,,,1.06E+10
2075,,10701653000,,1.06E+10
2076,,,,1.06E+10
2077,,,,1.06E+10
2078,,,,1.06E+10
2079,,,,1.07E+10
2080,,10836635000,,1.07E+10
2081,,,,1.07E+10
2082,,,,1.07E+10
2083,,,,1.07E+10
2084,,,,1.07E+10
2085,,10953525000,,1.08E+10
2086,,,,1.08E+10
2087,,,,1.08E+10
2088,,,,1.08E+10
2089,,,,1.08E+10
2090,,11055270000,,1.08E+10
2091,,,,1.08E+10
2092,,,,1.08E+10
2093,,,,1.08E+10
2094,,,,1.08E+10
2095,,11142461000,,1.09E+10
2096,,,,1.09E+10
2097,,,,1.09E+10
2098,,,,1.09E+10
2099,,,,1.09E+10
2100,,11213317000,,1.09E+10
